observer,child_num,child_gender,child_age,social_participation,pos_affect,bossy,awkward,sample,unoccupied,solitary,onlooker,parallel,associative,cooperative
amelia,1,m,3,2,2,1,2,1,11,9,9,2,0,0
amelia,1,m,3,2,2,1,2,2,3,7,13,4,3,0
eoin,2,f,4,2,2,2,2,1,0,19,5,3,3,0
eoin,2,f,4,2,2,2,2,2,3,13,5,0,4,5
julia,3,f,4,3,2,1,2,1,0,7,1,7,13,0
julia,3,f,4,3,2,1,2,2,0,0,0,14,11,5
sydny,4,f,5,5,4,2,1,1,0,0,0,0,7,23
sydny,4,f,5,5,4,2,1,2,0,3,0,0,9,18
jacob,5,m,3,3,3,1,2,1,0,14,2,3,5,6
jacob,5,m,3,3,3,1,2,2,0,5,2,9,14,0
patrick,6,f,,4,3,2,2,1,0,9,7,0,7,7
patrick,6,f,,4,3,2,2,2,0,0,0,0,0,30
allison,7,m,,2,3,1,2,1,0,1,2,16,7,4
allison,7,m,,2,3,1,2,2,1,6,4,8,8,3
jasalyn,8,m,4,5,4,3,2,1,0,14,3,8,0,5
jasalyn,8,m,4,5,4,3,2,2,0,28,2,0,0,0
milan,9,f,4,4,3,1,1,1,0,7,0,7,17,0
milan,9,f,4,4,3,1,1,2,0,6,0,2,14,8
abby,10,m,3,4,3,2,2,1,0,13,4,10,1,2
abby,10,m,3,4,3,2,2,2,0,0,6,20,2,2
sarah,11,f,3,4,2,2,2,1,0,4,5,4,4,1
sarah,11,f,3,4,2,2,2,2,0,6,0,5,6,13
julianne,12,f,4,5,4,2,1,1,5,13,8,0,4,0
julianne,12,f,4,5,4,2,1,2,0,7,5,0,13,5
erin,13,f,,2,2,1,2,1,8,5,3,3,0,11
erin,13,f,,2,2,1,2,2,6,5,4,7,3,5
remi,14,f,4,4,4,1,1,1,2,11,2,1,13,1
remi,14,f,4,4,4,1,1,2,2,7,0,0,16,5
george,15,m,5,5,3,1,1,1,0,1,1,0,7,21
george,15,m,5,5,3,1,1,2,0,0,11,9,5,5
