Cohort,Gender,Age,Unoccupied,Solitary,Onlooker,Parallel,Associative,Cooperative,Predom,socparticip,degpos,bossy,socawk
0,2,3,0,8,8,14,0,0,P,2,#NULL!,#NULL!,#NULL!
0,1,3,0,0,4,16,0,10,P,4,#NULL!,#NULL!,#NULL!
0,1,3,0,18,0,10,2,0,S,3,#NULL!,#NULL!,#NULL!
0,1,3,0,4,7,2,2,15,C,5,#NULL!,#NULL!,#NULL!
0,2,3,4,4,7,11,4,0,P,4,#NULL!,#NULL!,#NULL!
0,2,3,7,5,0,12,6,0,P,5,#NULL!,#NULL!,#NULL!
0,2,3,0,2,10,8,7,3,O,4,#NULL!,#NULL!,#NULL!
0,2,3,0,10,0,7,13,0,A,3,#NULL!,#NULL!,#NULL!
0,1,3,0,4,1,6,14,5,A,5,#NULL!,#NULL!,#NULL!
0,2,3,0,0,0,10,14,6,A,5,#NULL!,#NULL!,#NULL!
0,1,3,0,12,1,0,16,1,A,3,#NULL!,#NULL!,#NULL!
0,1,3,0,12,0,1,17,0,A,4,#NULL!,#NULL!,#NULL!
0,1,4,2,4,0,24,0,0,P,4,#NULL!,#NULL!,#NULL!
0,2,4,4,7,6,13,0,0,P,3,#NULL!,#NULL!,#NULL!
0,2,4,1,16,3,10,0,0,S,3,#NULL!,#NULL!,#NULL!
0,2,4,0,29,1,0,0,0,S,3,#NULL!,#NULL!,#NULL!
0,1,4,0,7,0,22,0,1,P,4,#NULL!,#NULL!,#NULL!
0,1,4,1,24,2,2,1,0,S,3,#NULL!,#NULL!,#NULL!
0,1,4,2,15,6,5,1,1,S,4,#NULL!,#NULL!,#NULL!
0,2,4,0,15,0,13,2,0,S,3,#NULL!,#NULL!,#NULL!
0,1,4,4,5,2,17,2,0,P,4,#NULL!,#NULL!,#NULL!
0,1,4,4,8,0,12,5,1,P,5,#NULL!,#NULL!,#NULL!
0,1,4,0,3,0,7,6,14,C,5,#NULL!,#NULL!,#NULL!
0,2,4,2,10,4,7,7,0,S,3,#NULL!,#NULL!,#NULL!
0,2,4,0,0,0,7,7,16,C,5,#NULL!,#NULL!,#NULL!
0,1,4,12,0,4,0,9,5,U,3,#NULL!,#NULL!,#NULL!
0,1,4,0,0,0,4,12,14,C,5,#NULL!,#NULL!,#NULL!
0,1,4,0,0,0,7,23,0,A,5,#NULL!,#NULL!,#NULL!
0,1,5,0,0,0,8,0,22,C,3,#NULL!,#NULL!,#NULL!
