child,cohort,gender,age,unoccupied,solitary,onlooker,parallel,associative,cooperative,soc_particip,bossy,pos_affect,awkward,predom,prop_unocc,prop_solitary,prop_onlooker,prop_parallel,prop_assoc,prop_coop
1,0,female,3,0,8,8,14,0,0,2,NA,NA,NA,parallel,0,0.26666666666666666,0.26666666666666666,0.4666666666666667,0,0
2,0,male,3,0,0,4,16,0,10,4,NA,NA,NA,parallel,0,0,0.13333333333333333,0.5333333333333333,0,0.3333333333333333
3,0,male,3,0,18,0,10,2,0,3,NA,NA,NA,solitary,0,0.6,0,0.3333333333333333,0.06666666666666667,0
4,0,male,3,0,4,7,2,2,15,5,NA,NA,NA,cooperative,0,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5
5,0,female,3,4,4,7,11,4,0,4,NA,NA,NA,parallel,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.36666666666666664,0.13333333333333333,0
6,0,female,3,7,5,0,12,6,0,5,NA,NA,NA,parallel,0.23333333333333334,0.16666666666666666,0,0.4,0.2,0
7,0,female,3,0,2,10,8,7,3,4,NA,NA,NA,onlooker,0,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.1
8,0,female,3,0,10,0,7,13,0,3,NA,NA,NA,associative,0,0.3333333333333333,0,0.23333333333333334,0.43333333333333335,0
9,0,male,3,0,4,1,6,14,5,5,NA,NA,NA,associative,0,0.13333333333333333,0.03333333333333333,0.2,0.4666666666666667,0.16666666666666666
10,0,female,3,0,0,0,10,14,6,5,NA,NA,NA,associative,0,0,0,0.3333333333333333,0.4666666666666667,0.2
11,0,male,3,0,12,1,0,16,1,3,NA,NA,NA,associative,0,0.4,0.03333333333333333,0,0.5333333333333333,0.03333333333333333
12,0,male,3,0,12,0,1,17,0,4,NA,NA,NA,associative,0,0.4,0,0.03333333333333333,0.5666666666666667,0
13,0,male,4,2,4,0,24,0,0,4,NA,NA,NA,parallel,0.06666666666666667,0.13333333333333333,0,0.8,0,0
14,0,female,4,4,7,6,13,0,0,3,NA,NA,NA,parallel,0.13333333333333333,0.23333333333333334,0.2,0.43333333333333335,0,0
15,0,female,4,1,16,3,10,0,0,3,NA,NA,NA,solitary,0.03333333333333333,0.5333333333333333,0.1,0.3333333333333333,0,0
16,0,female,4,0,29,1,0,0,0,3,NA,NA,NA,solitary,0,0.9666666666666667,0.03333333333333333,0,0,0
17,0,male,4,0,7,0,22,0,1,4,NA,NA,NA,parallel,0,0.23333333333333334,0,0.7333333333333333,0,0.03333333333333333
18,0,male,4,1,24,2,2,1,0,3,NA,NA,NA,solitary,0.03333333333333333,0.8,0.06666666666666667,0.06666666666666667,0.03333333333333333,0
19,0,male,4,2,15,6,5,1,1,4,NA,NA,NA,solitary,0.06666666666666667,0.5,0.2,0.16666666666666666,0.03333333333333333,0.03333333333333333
20,0,female,4,0,15,0,13,2,0,3,NA,NA,NA,solitary,0,0.5,0,0.43333333333333335,0.06666666666666667,0
21,0,male,4,4,5,2,17,2,0,4,NA,NA,NA,parallel,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.5666666666666667,0.06666666666666667,0
22,0,male,4,4,8,0,12,5,1,5,NA,NA,NA,parallel,0.13333333333333333,0.26666666666666666,0,0.4,0.16666666666666666,0.03333333333333333
23,0,male,4,0,3,0,7,6,14,5,NA,NA,NA,cooperative,0,0.1,0,0.23333333333333334,0.2,0.4666666666666667
24,0,female,4,2,10,4,7,7,0,3,NA,NA,NA,solitary,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.23333333333333334,0.23333333333333334,0
25,0,female,4,0,0,0,7,7,16,5,NA,NA,NA,cooperative,0,0,0,0.23333333333333334,0.23333333333333334,0.5333333333333333
26,0,male,4,12,0,4,0,9,5,3,NA,NA,NA,unoccupied,0.4,0,0.13333333333333333,0,0.3,0.16666666666666666
27,0,male,4,0,0,0,4,12,14,5,NA,NA,NA,cooperative,0,0,0,0.13333333333333333,0.4,0.4666666666666667
28,0,male,4,0,0,0,7,23,0,5,NA,NA,NA,associative,0,0,0,0.23333333333333334,0.7666666666666667,0
29,0,male,5,0,0,0,8,0,22,3,NA,NA,NA,cooperative,0,0,0,0.26666666666666666,0,0.7333333333333333
30,0,female,5,0,2,6,5,4,13,4,NA,NA,NA,cooperative,0,0.06666666666666667,0.2,0.16666666666666666,0.13333333333333333,0.43333333333333335
31,0,female,5,0,0,0,1,7,22,5,NA,NA,NA,cooperative,0,0,0,0.03333333333333333,0.23333333333333334,0.7333333333333333
32,0,female,5,0,6,0,0,8,16,4,NA,NA,NA,cooperative,0,0.2,0,0,0.26666666666666666,0.5333333333333333
33,0,female,5,0,2,2,9,10,7,4,NA,NA,NA,associative,0,0.06666666666666667,0.06666666666666667,0.3,0.3333333333333333,0.23333333333333334
34,0,male,5,0,6,0,0,14,10,4,NA,NA,NA,associative,0,0.2,0,0,0.4666666666666667,0.3333333333333333
35,0,male,5,0,2,0,0,14,14,4,NA,NA,NA,NA,0,0.06666666666666667,0,0,0.4666666666666667,0.4666666666666667
36,0,male,5,0,10,0,0,15,5,3,NA,NA,NA,associative,0,0.3333333333333333,0,0,0.5,0.16666666666666666
37,0,female,5,0,0,1,8,20,1,5,NA,NA,NA,associative,0,0,0.03333333333333333,0.26666666666666666,0.6666666666666666,0.03333333333333333
38,0,female,5,0,0,1,0,20,9,5,NA,NA,NA,associative,0,0,0.03333333333333333,0,0.6666666666666666,0.3
39,0,female,3,3,21,0,0,5,1,3,NA,NA,NA,solitary,0.1,0.7,0,0,0.16666666666666666,0.03333333333333333
40,0,female,3,0,20,0,1,8,1,3,NA,NA,NA,solitary,0,0.6666666666666666,0,0.03333333333333333,0.26666666666666666,0.03333333333333333
41,0,male,3,0,7,3,6,10,4,4,NA,NA,NA,associative,0,0.23333333333333334,0.1,0.2,0.3333333333333333,0.13333333333333333
